source,data_type,tree_type,model,tree,backend,run,walltime,cputime,log_likelihood,tree_length,opt_time
baseline,AA,unrooted,LG,tree_1,VANILA,1,276.523,269.771,-88901422.374,19.949,273.691
baseline,AA,unrooted,LG,tree_1,OMP_10,6,37.493,345.833,-88901422.374,19.949,36.24
baseline,AA,unrooted,LG,tree_1,OPENACC,2,32.29,31.866,-88901422.374,19.949,29.171
baseline,AA,unrooted,LG,tree_1,OMP_48,4,16.217,577.638,-88901422.374,19.949,13.184
baseline,AA,unrooted,LG,tree_1,OMP_10,9,38.319,365.443,-88901422.374,19.949,37.09
baseline,AA,unrooted,LG,tree_1,OMP_10,1,38.61,368.619,-88901422.374,19.949,37.367
baseline,AA,unrooted,LG,tree_1,OMP_48,3,14.121,578.844,-88901422.374,19.949,12.678
baseline,AA,unrooted,LG,tree_1,VANILA,2,284.46,277.61,-88901422.374,19.949,281.471
baseline,AA,unrooted,LG,tree_1,OPENACC,1,30.909,30.529,-88901422.374,19.949,27.989
baseline,AA,unrooted,LG,tree_1,OMP_10,8,36.304,333.871,-88901422.374,19.949,35.054
baseline,AA,unrooted,LG,tree_1,OMP_48,5,18.564,630.743,-88901422.374,19.949,17.183
baseline,AA,unrooted,LG,tree_1,OPENACC,9,30.551,30.206,-88901422.374,19.949,27.744
baseline,AA,unrooted,LG,tree_1,OPENACC,7,30.818,30.444,-88901422.374,19.949,27.939
baseline,AA,unrooted,LG,tree_1,OMP_10,7,38.356,365.322,-88901422.374,19.949,37.115
baseline,AA,unrooted,LG,tree_1,VANILA,4,285.185,278.647,-88901422.374,19.949,282.157
baseline,AA,unrooted,LG,tree_1,VANILA,10,282.798,276.389,-88901422.374,19.949,279.944
baseline,AA,unrooted,LG,tree_1,OPENACC,8,31.903,31.487,-88901422.374,19.949,28.866
baseline,AA,unrooted,LG,tree_1,OPENACC,6,32.119,31.721,-88901422.374,19.949,29.048
baseline,AA,unrooted,LG,tree_1,OPENACC,4,31.099,30.681,-88901422.374,19.949,28.21
baseline,AA,unrooted,LG,tree_1,OPENACC,5,31.616,31.254,-88901422.374,19.949,28.649
baseline,AA,unrooted,LG,tree_1,VANILA,7,281.219,274.13,-88901422.374,19.949,278.094
baseline,AA,unrooted,LG,tree_1,VANILA,9,291.16,284.376,-88901422.374,19.949,288.233
baseline,AA,unrooted,LG,tree_1,OMP_48,2,13.975,581.843,-88901422.374,19.949,12.619
baseline,AA,unrooted,LG,tree_1,OPENACC,10,30.313,29.965,-88901422.374,19.949,27.523
baseline,AA,unrooted,LG,tree_10,OMP_48,8,14.911,607.887,-86714228.485,19.208,13.499
baseline,AA,unrooted,LG,tree_10,OMP_48,10,14.778,604.025,-86714228.485,19.208,13.338
baseline,AA,unrooted,LG,tree_10,OMP_48,2,14.853,607.484,-86714228.485,19.208,13.44
baseline,AA,unrooted,LG,tree_10,OMP_48,4,14.192,578.773,-86714228.485,19.208,12.709
baseline,AA,unrooted,LG,tree_10,OMP_10,2,39.915,359.601,-86714228.485,19.208,38.185
baseline,AA,unrooted,LG,tree_10,OMP_10,4,39.82,379.504,-86714228.485,19.208,38.545
baseline,AA,unrooted,LG,tree_10,OMP_10,8,37.073,337.883,-86714228.485,19.208,35.756
baseline,AA,unrooted,LG,tree_10,OMP_48,9,15.206,617.397,-86714228.485,19.208,13.741
baseline,AA,unrooted,LG,tree_10,OMP_48,5,17.178,623.24,-86714228.485,19.208,14.579
baseline,AA,unrooted,LG,tree_10,OMP_48,3,17.8,622.39,-86714228.485,19.208,16.456
baseline,AA,unrooted,LG,tree_10,OMP_10,5,35.728,327.96,-86714228.485,19.208,34.515
baseline,AA,unrooted,LG,tree_10,OMP_10,3,38.058,363.066,-86714228.485,19.208,36.838
baseline,AA,unrooted,LG,tree_10,OMP_10,9,38.355,364.685,-86714228.485,19.208,37.102
baseline,AA,unrooted,LG,tree_10,OMP_48,6,19.722,673.613,-86714228.485,19.208,18.343
baseline,AA,unrooted,LG,tree_10,OMP_10,10,38.422,365.875,-86714228.485,19.208,37.18
baseline,AA,unrooted,LG,tree_10,OMP_10,6,60.973,401.914,-86714228.485,19.208,59.613
baseline,AA,unrooted,LG,tree_10,OMP_48,7,19.436,647.328,-86714228.485,19.208,18.06
baseline,AA,unrooted,LG,tree_10,OMP_48,1,18.123,637.409,-86714228.485,19.208,16.807
baseline,AA,unrooted,LG,tree_10,OMP_10,7,38.159,364.041,-86714228.485,19.208,36.912
baseline,AA,unrooted,LG,tree_10,OMP_10,1,38.309,365.436,-86714228.485,19.208,37.065
baseline,AA,unrooted,LG,tree_2,OPENACC,1,24.07,23.695,-90504713.177,20.312,21.205
baseline,AA,unrooted,LG,tree_2,OMP_10,4,30.583,288.504,-90504713.177,20.312,29.308
baseline,AA,unrooted,LG,tree_2,VANILA,2,219.924,213.314,-90504713.177,20.312,217.055
baseline,AA,unrooted,LG,tree_2,OMP_48,9,11.555,459.643,-90504713.177,20.312,10.044
baseline,AA,unrooted,LG,tree_2,OMP_48,6,11.418,445.763,-90504713.177,20.312,10.183
baseline,AA,unrooted,LG,tree_2,OMP_10,3,29.796,281.026,-90504713.177,20.312,28.539
baseline,AA,unrooted,LG,tree_2,OPENACC,2,24.798,24.413,-90504713.177,20.312,21.77
baseline,AA,unrooted,LG,tree_2,OPENACC,3,23.963,23.589,-90504713.177,20.312,21.077
baseline,AA,unrooted,LG,tree_2,VANILA,1,212.665,206.366,-90504713.177,20.312,209.917
baseline,AA,unrooted,LG,tree_2,OMP_48,1,11.656,452.497,-90504713.177,20.312,10.45
baseline,AA,unrooted,LG,tree_2,OMP_48,10,13.348,468.661,-90504713.177,20.312,12.122
baseline,AA,unrooted,LG,tree_2,OPENACC,10,23.594,23.241,-90504713.177,20.312,20.83
baseline,AA,unrooted,LG,tree_2,OMP_48,7,11.589,450.793,-90504713.177,20.312,10.353
baseline,AA,unrooted,LG,tree_2,OMP_48,8,15.711,500.071,-90504713.177,20.312,14.346
baseline,AA,unrooted,LG,tree_2,OPENACC,5,24.266,23.9,-90504713.177,20.312,21.361
baseline,AA,unrooted,LG,tree_2,VANILA,9,220.888,214.38,-90504713.177,20.312,217.78
baseline,AA,unrooted,LG,tree_2,VANILA,7,214.832,208.16,-90504713.177,20.312,211.446
baseline,AA,unrooted,LG,tree_2,OMP_10,5,29.829,268.154,-90504713.177,20.312,28.544
baseline,AA,unrooted,LG,tree_2,OPENACC,4,24.174,23.823,-90504713.177,20.312,21.258
baseline,AA,unrooted,LG,tree_2,VANILA,10,216.488,210.304,-90504713.177,20.312,213.501
baseline,AA,unrooted,LG,tree_2,VANILA,4,220.683,214.555,-90504713.177,20.312,217.816
baseline,AA,unrooted,LG,tree_2,OPENACC,6,24.93,24.53,-90504713.177,20.312,21.859
baseline,AA,unrooted,LG,tree_2,OPENACC,8,24.71,24.293,-90504713.177,20.312,21.69
baseline,AA,unrooted,LG,tree_2,OPENACC,7,24.037,23.665,-90504713.177,20.312,21.152
baseline,AA,unrooted,LG,tree_2,OPENACC,9,23.831,23.481,-90504713.177,20.312,21.014
baseline,AA,unrooted,LG,tree_2,OMP_10,10,29.804,281.056,-90504713.177,20.312,28.52
baseline,AA,unrooted,LG,tree_2,OMP_10,2,50.739,330.705,-90504713.177,20.312,49.001
baseline,AA,unrooted,LG,tree_2,OPENACC,8,23.713,23.362,-90504713.177,20.312,20.92
baseline,AA,unrooted,LG,tree_2,OPENACC,6,24.832,24.428,-90504713.177,20.312,21.767
baseline,AA,unrooted,LG,tree_2,OMP_48,3,11.399,454.021,-90504713.177,20.312,9.955
baseline,AA,unrooted,LG,tree_2,VANILA,5,220.6,213.739,-90504713.177,20.312,217.421
baseline,AA,unrooted,LG,tree_2,OPENACC,9,23.836,23.405,-90504713.177,20.312,20.952
baseline,AA,unrooted,LG,tree_2,OPENACC,7,23.694,23.371,-90504713.177,20.312,20.883
baseline,AA,unrooted,LG,tree_2,OMP_10,1,29.969,282.506,-90504713.177,20.312,28.647
baseline,AA,unrooted,LG,tree_2,OMP_48,4,11.25,449.444,-90504713.177,20.312,9.848
baseline,AA,unrooted,LG,tree_2,OMP_10,9,29.898,280.909,-90504713.177,20.312,28.511
baseline,AA,unrooted,LG,tree_2,OPENACC,5,25.017,24.602,-90504713.177,20.312,21.894
baseline,AA,unrooted,LG,tree_2,OPENACC,4,23.915,23.527,-90504713.177,20.312,21.058
baseline,AA,unrooted,LG,tree_2,VANILA,6,219.261,212.464,-90504713.177,20.312,216.12
baseline,AA,unrooted,LG,tree_2,VANILA,8,224.057,217.453,-90504713.177,20.312,220.868
baseline,AA,unrooted,LG,tree_2,OMP_10,6,48.037,313.799,-90504713.177,20.312,46.667
baseline,AA,unrooted,LG,tree_2,OPENACC,2,24.038,23.659,-90504713.177,20.312,21.135
baseline,AA,unrooted,LG,tree_2,OPENACC,3,24.013,23.643,-90504713.177,20.312,21.131
baseline,AA,unrooted,LG,tree_2,OMP_48,2,12.529,481.993,-90504713.177,20.312,10.796
baseline,AA,unrooted,LG,tree_2,VANILA,3,221.36,214.678,-90504713.177,20.312,218.243
baseline,AA,unrooted,LG,tree_2,OPENACC,10,24.006,23.644,-90504713.177,20.312,21.142
baseline,AA,unrooted,LG,tree_2,OPENACC,1,23.93,23.57,-90504713.177,20.312,21.035
baseline,AA,unrooted,LG,tree_2,OMP_10,7,29.675,280.217,-90504713.177,20.312,28.462
baseline,AA,unrooted,LG,tree_2,OMP_10,8,28.444,258.444,-90504713.177,20.312,27.108
baseline,AA,unrooted,LG,tree_2,OMP_48,5,12.052,480.556,-90504713.177,20.312,10.612
baseline,AA,unrooted,LG,tree_3,OMP_10,2,66.449,426.117,-87357001.171,19.421,64.552
baseline,AA,unrooted,LG,tree_3,OMP_10,10,39.342,374.042,-87357001.171,19.421,38.068
baseline,AA,unrooted,LG,tree_3,OPENACC,8,30.275,29.926,-87357001.171,19.421,27.442
baseline,AA,unrooted,LG,tree_3,OPENACC,6,31.628,31.206,-87357001.171,19.421,28.651
baseline,AA,unrooted,LG,tree_3,OPENACC,9,30.788,30.388,-87357001.171,19.421,27.85
baseline,AA,unrooted,LG,tree_3,OPENACC,7,30.816,30.481,-87357001.171,19.421,27.921
baseline,AA,unrooted,LG,tree_3,OPENACC,5,31.822,31.394,-87357001.171,19.421,28.729
baseline,AA,unrooted,LG,tree_3,OMP_10,5,39.46,362.091,-87357001.171,19.421,38.17
baseline,AA,unrooted,LG,tree_3,OPENACC,4,30.616,30.249,-87357001.171,19.421,27.768
baseline,AA,unrooted,LG,tree_3,OMP_48,8,14.642,570.499,-87357001.171,19.421,13.33
baseline,AA,unrooted,LG,tree_3,OMP_48,7,16.641,661.068,-87357001.171,19.421,15.232
baseline,AA,unrooted,LG,tree_3,OMP_48,10,18.361,622.292,-87357001.171,19.421,17.015
baseline,AA,unrooted,LG,tree_3,OPENACC,2,30.642,30.247,-87357001.171,19.421,27.795
baseline,AA,unrooted,LG,tree_3,OMP_48,1,13.971,576.212,-87357001.171,19.421,12.577
baseline,AA,unrooted,LG,tree_3,OPENACC,3,30.724,30.356,-87357001.171,19.421,27.831
baseline,AA,unrooted,LG,tree_3,OMP_10,3,39.239,373.237,-87357001.171,19.421,37.992
baseline,AA,unrooted,LG,tree_3,OMP_48,6,13.984,569.798,-87357001.171,19.421,12.535
baseline,AA,unrooted,LG,tree_3,OMP_48,9,19.546,625.708,-87357001.171,19.421,18.067
baseline,AA,unrooted,LG,tree_3,OPENACC,1,30.675,30.309,-87357001.171,19.421,27.821
baseline,AA,unrooted,LG,tree_3,OPENACC,10,30.545,30.167,-87357001.171,19.421,27.653
baseline,AA,unrooted,LG,tree_3,OMP_10,4,40.421,383.42,-87357001.171,19.421,39.068
baseline,AA,unrooted,LG,tree_3,OMP_48,5,15.892,612.972,-87357001.171,19.421,14.433
baseline,AA,unrooted,LG,tree_3,OMP_10,8,64.886,391.759,-87357001.171,19.421,63.496
baseline,AA,unrooted,LG,tree_3,OPENACC,1,30.814,30.462,-87357001.171,19.421,27.931
baseline,AA,unrooted,LG,tree_3,OMP_10,7,39.24,373.032,-87357001.171,19.421,37.976
baseline,AA,unrooted,LG,tree_3,OPENACC,2,31.949,31.524,-87357001.171,19.421,28.906
baseline,AA,unrooted,LG,tree_3,OMP_48,2,15.419,607.151,-87357001.171,19.421,14.152
baseline,AA,unrooted,LG,tree_3,OPENACC,3,30.54,30.158,-87357001.171,19.421,27.674
baseline,AA,unrooted,LG,tree_3,OPENACC,5,31.011,30.647,-87357001.171,19.421,28.095
baseline,AA,unrooted,LG,tree_3,OMP_10,6,60.389,401.842,-87357001.171,19.421,59.039
baseline,AA,unrooted,LG,tree_3,OPENACC,4,30.687,30.332,-87357001.171,19.421,27.826
baseline,AA,unrooted,LG,tree_3,OPENACC,10,30.139,29.741,-87357001.171,19.421,27.354
baseline,AA,unrooted,LG,tree_3,OMP_10,9,39.312,373.42,-87357001.171,19.421,38.031
baseline,AA,unrooted,LG,tree_3,OMP_48,4,16.554,613.444,-87357001.171,19.421,15.324
baseline,AA,unrooted,LG,tree_3,OMP_10,1,39.664,376.66,-87357001.171,19.421,38.318
baseline,AA,unrooted,LG,tree_3,OPENACC,6,31.834,31.435,-87357001.171,19.421,28.774
baseline,AA,unrooted,LG,tree_3,OPENACC,8,31.21,30.834,-87357001.171,19.421,28.256
baseline,AA,unrooted,LG,tree_3,OPENACC,7,30.655,30.265,-87357001.171,19.421,27.778
baseline,AA,unrooted,LG,tree_3,OPENACC,9,30.214,29.894,-87357001.171,19.421,27.415
baseline,AA,unrooted,LG,tree_3,OMP_48,3,14.243,585.374,-87357001.171,19.421,12.834
baseline,AA,unrooted,LG,tree_4,OMP_10,2,66.388,432.402,-87712627.079,20.39,64.837
baseline,AA,unrooted,LG,tree_4,OPENACC,7,30.648,30.22,-87712627.079,20.39,27.729
baseline,AA,unrooted,LG,tree_4,OPENACC,9,30.599,30.249,-87712627.079,20.39,27.708
baseline,AA,unrooted,LG,tree_4,OPENACC,6,32.043,31.601,-87712627.079,20.39,28.925
baseline,AA,unrooted,LG,tree_4,OPENACC,8,31.738,31.321,-87712627.079,20.39,28.689
baseline,AA,unrooted,LG,tree_4,OMP_10,10,39.51,376.02,-87712627.079,20.39,38.262
baseline,AA,unrooted,LG,tree_4,OPENACC,4,30.966,30.592,-87712627.079,20.39,28.072
baseline,AA,unrooted,LG,tree_4,OMP_48,7,14.987,617.784,-87712627.079,20.39,13.583
baseline,AA,unrooted,LG,tree_4,OPENACC,5,30.948,30.586,-87712627.079,20.39,28.058
baseline,AA,unrooted,LG,tree_4,OMP_48,10,17.655,639.448,-87712627.079,20.39,16.388
baseline,AA,unrooted,LG,tree_4,OMP_10,5,38.017,347.313,-87712627.079,20.39,36.749
baseline,AA,unrooted,LG,tree_4,OPENACC,10,30.229,29.866,-87712627.079,20.39,27.44
baseline,AA,unrooted,LG,tree_4,OMP_48,8,15.758,615.912,-87712627.079,20.39,14.473
baseline,AA,unrooted,LG,tree_4,OPENACC,3,30.679,30.313,-87712627.079,20.39,27.801
baseline,AA,unrooted,LG,tree_4,OPENACC,2,31.98,31.522,-87712627.079,20.39,28.864
baseline,AA,unrooted,LG,tree_4,OMP_10,3,39.361,374.888,-87712627.079,20.39,38.093
baseline,AA,unrooted,LG,tree_4,OMP_48,1,14.607,601.617,-87712627.079,20.39,13.164
baseline,AA,unrooted,LG,tree_4,OMP_48,9,14.617,608.017,-87712627.079,20.39,13.101
baseline,AA,unrooted,LG,tree_4,OMP_10,4,39.984,380.102,-87712627.079,20.39,38.726
baseline,AA,unrooted,LG,tree_4,OMP_48,6,14.919,604.671,-87712627.079,20.39,13.652
baseline,AA,unrooted,LG,tree_4,OPENACC,1,30.841,30.486,-87712627.079,20.39,27.97
baseline,AA,unrooted,LG,tree_4,OMP_10,7,39.387,374.884,-87712627.079,20.39,38.135
baseline,AA,unrooted,LG,tree_4,OMP_48,5,15.737,593.664,-87712627.079,20.39,13.555
baseline,AA,unrooted,LG,tree_4,OPENACC,1,30.431,30.067,-87712627.079,20.39,27.629
baseline,AA,unrooted,LG,tree_4,OPENACC,10,30.713,30.336,-87712627.079,20.39,27.849
baseline,AA,unrooted,LG,tree_4,OMP_10,8,38.809,352.862,-87712627.079,20.39,37.528
baseline,AA,unrooted,LG,tree_4,OPENACC,3,30.787,30.416,-87712627.079,20.39,27.893
baseline,AA,unrooted,LG,tree_4,OPENACC,2,30.476,30.101,-87712627.079,20.39,27.646
baseline,AA,unrooted,LG,tree_4,OMP_48,2,14.784,606.28,-87712627.079,20.39,13.356
baseline,AA,unrooted,LG,tree_4,OPENACC,4,30.376,30.017,-87712627.079,20.39,27.568
baseline,AA,unrooted,LG,tree_4,OMP_10,9,39.558,375.639,-87712627.079,20.39,38.301
baseline,AA,unrooted,LG,tree_4,OPENACC,5,31.779,31.36,-87712627.079,20.39,28.752
baseline,AA,unrooted,LG,tree_4,OMP_48,4,15.18,636.898,-87712627.079,20.39,13.749
baseline,AA,unrooted,LG,tree_4,OMP_10,6,41.682,370.854,-87712627.079,20.39,40.373
baseline,AA,unrooted,LG,tree_4,OMP_48,3,18.698,658.699,-87712627.079,20.39,17.319
baseline,AA,unrooted,LG,tree_4,OPENACC,9,30.65,30.168,-87712627.079,20.39,27.651
baseline,AA,unrooted,LG,tree_4,OPENACC,7,30.619,30.263,-87712627.079,20.39,27.758
baseline,AA,unrooted,LG,tree_4,OMP_10,1,39.658,377.388,-87712627.079,20.39,38.352
baseline,AA,unrooted,LG,tree_4,OPENACC,8,30.559,30.21,-87712627.079,20.39,27.741
baseline,AA,unrooted,LG,tree_4,OPENACC,6,31.903,31.475,-87712627.079,20.39,28.873
baseline,AA,unrooted,LG,tree_5,OMP_48,6,17.757,624.961,-86382770.364,19.61,16.446
baseline,AA,unrooted,LG,tree_5,OPENACC,10,30.292,29.916,-86382770.364,19.61,27.444
baseline,AA,unrooted,LG,tree_5,OPENACC,1,30.207,29.843,-86382770.364,19.61,27.346
baseline,AA,unrooted,LG,tree_5,OMP_10,4,39.502,375.813,-86382770.364,19.61,38.215
baseline,AA,unrooted,LG,tree_5,OMP_48,9,15.14,630.022,-86382770.364,19.61,13.643
baseline,AA,unrooted,LG,tree_5,OMP_48,1,15.352,622.852,-86382770.364,19.61,14.115
baseline,AA,unrooted,LG,tree_5,OMP_10,3,38.557,367.178,-86382770.364,19.61,37.319
baseline,AA,unrooted,LG,tree_5,OPENACC,3,30.475,30.106,-86382770.364,19.61,27.586
baseline,AA,unrooted,LG,tree_5,OPENACC,2,30.367,30.004,-86382770.364,19.61,27.498
baseline,AA,unrooted,LG,tree_5,OMP_48,8,18.484,643.36,-86382770.364,19.61,17.149
baseline,AA,unrooted,LG,tree_5,OMP_10,5,36.933,338.447,-86382770.364,19.61,35.641
baseline,AA,unrooted,LG,tree_5,OMP_48,10,14.598,598.304,-86382770.364,19.61,13.165
baseline,AA,unrooted,LG,tree_5,OMP_48,7,16.719,639.549,-86382770.364,19.61,15.429
baseline,AA,unrooted,LG,tree_5,OPENACC,4,30.37,30.019,-86382770.364,19.61,27.491
baseline,AA,unrooted,LG,tree_5,OPENACC,5,31.3,30.918,-86382770.364,19.61,28.281
baseline,AA,unrooted,LG,tree_5,OPENACC,9,30.03,29.675,-86382770.364,19.61,27.206
baseline,AA,unrooted,LG,tree_5,OPENACC,7,30.157,29.796,-86382770.364,19.61,27.351
baseline,AA,unrooted,LG,tree_5,OMP_10,10,38.56,367.262,-86382770.364,19.61,37.312
baseline,AA,unrooted,LG,tree_5,OMP_10,2,66.732,433.918,-86382770.364,19.61,64.723
baseline,AA,unrooted,LG,tree_5,OPENACC,8,30.088,29.734,-86382770.364,19.61,27.229
baseline,AA,unrooted,LG,tree_5,OPENACC,6,31.634,31.212,-86382770.364,19.61,28.57
baseline,AA,unrooted,LG,tree_5,OPENACC,7,30.507,30.124,-86382770.364,19.61,27.605
baseline,AA,unrooted,LG,tree_5,OPENACC,9,30.003,29.658,-86382770.364,19.61,27.161
baseline,AA,unrooted,LG,tree_5,OMP_10,1,38.869,370.698,-86382770.364,19.61,37.654
baseline,AA,unrooted,LG,tree_5,OPENACC,6,31.529,31.088,-86382770.364,19.61,28.452
baseline,AA,unrooted,LG,tree_5,OPENACC,8,31.196,30.796,-86382770.364,19.61,28.172
baseline,AA,unrooted,LG,tree_5,OMP_48,3,20.561,722.519,-86382770.364,19.61,19.132
baseline,AA,unrooted,LG,tree_5,OPENACC,10,30.135,29.766,-86382770.364,19.61,27.297
baseline,AA,unrooted,LG,tree_5,OMP_10,6,58.374,399.462,-86382770.364,19.61,56.988
baseline,AA,unrooted,LG,tree_5,OMP_48,4,14.514,600.178,-86382770.364,19.61,13.089
baseline,AA,unrooted,LG,tree_5,OPENACC,4,30.581,30.204,-86382770.364,19.61,27.657
baseline,AA,unrooted,LG,tree_5,OPENACC,5,30.518,30.153,-86382770.364,19.61,27.636
baseline,AA,unrooted,LG,tree_5,OMP_10,9,38.65,367.359,-86382770.364,19.61,37.348
baseline,AA,unrooted,LG,tree_5,OMP_48,2,19.05,629.558,-86382770.364,19.61,17.697
baseline,AA,unrooted,LG,tree_5,OPENACC,3,30.293,29.835,-86382770.364,19.61,27.44
baseline,AA,unrooted,LG,tree_5,OPENACC,2,31.506,31.122,-86382770.364,19.61,28.46
baseline,AA,unrooted,LG,tree_5,OMP_10,8,37.399,342.069,-86382770.364,19.61,36.104
baseline,AA,unrooted,LG,tree_5,OMP_48,5,19.057,652.134,-86382770.364,19.61,17.708
baseline,AA,unrooted,LG,tree_5,OPENACC,1,30.399,30.014,-86382770.364,19.61,27.562
baseline,AA,unrooted,LG,tree_5,OMP_10,7,38.619,367.663,-86382770.364,19.61,37.342
baseline,AA,unrooted,LG,tree_6,OMP_10,3,39.9,377.862,-84301496.968,18.591,38.645
baseline,AA,unrooted,LG,tree_6,OPENACC,5,31.195,30.822,-84301496.968,18.591,28.28
baseline,AA,unrooted,LG,tree_6,OPENACC,4,30.885,30.519,-84301496.968,18.591,28.022
baseline,AA,unrooted,LG,tree_6,OPENACC,10,30.243,29.88,-84301496.968,18.591,27.469
baseline,AA,unrooted,LG,tree_6,OMP_48,1,15.207,620.806,-84301496.968,18.591,13.72
baseline,AA,unrooted,LG,tree_6,OMP_10,4,40.736,385.819,-84301496.968,18.591,39.467
baseline,AA,unrooted,LG,tree_6,OMP_48,9,18.797,631.173,-84301496.968,18.591,17.361
baseline,AA,unrooted,LG,tree_6,OPENACC,8,31.655,31.235,-84301496.968,18.591,28.676
baseline,AA,unrooted,LG,tree_6,OPENACC,6,31.91,31.472,-84301496.968,18.591,28.834
baseline,AA,unrooted,LG,tree_6,OMP_48,6,16.6,651.152,-84301496.968,18.591,15.325
baseline,AA,unrooted,LG,tree_6,OPENACC,9,30.391,30.073,-84301496.968,18.591,27.585
baseline,AA,unrooted,LG,tree_6,OPENACC,7,30.77,30.399,-84301496.968,18.591,27.907
baseline,AA,unrooted,LG,tree_6,OPENACC,1,31.107,30.74,-84301496.968,18.591,28.213
baseline,AA,unrooted,LG,tree_6,OMP_10,10,39.961,378.54,-84301496.968,18.591,38.712
baseline,AA,unrooted,LG,tree_6,OMP_10,2,66.077,431.836,-84301496.968,18.591,64.392
baseline,AA,unrooted,LG,tree_6,OMP_48,7,15.139,611.375,-84301496.968,18.591,13.898
baseline,AA,unrooted,LG,tree_6,OMP_48,10,14.868,608.039,-84301496.968,18.591,13.436
baseline,AA,unrooted,LG,tree_6,OPENACC,2,31.899,31.473,-84301496.968,18.591,28.839
baseline,AA,unrooted,LG,tree_6,OPENACC,3,30.655,30.291,-84301496.968,18.591,27.844
baseline,AA,unrooted,LG,tree_6,OMP_48,8,15.095,613.219,-84301496.968,18.591,13.846
baseline,AA,unrooted,LG,tree_6,OMP_10,5,37.442,348.739,-84301496.968,18.591,36.045
baseline,AA,unrooted,LG,tree_6,OMP_48,4,15.052,604.544,-84301496.968,18.591,13.866
baseline,AA,unrooted,LG,tree_6,OPENACC,2,30.734,30.337,-84301496.968,18.591,27.838
baseline,AA,unrooted,LG,tree_6,OPENACC,3,30.926,30.549,-84301496.968,18.591,28.156
baseline,AA,unrooted,LG,tree_6,OMP_10,9,39.879,377.905,-84301496.968,18.591,38.663
baseline,AA,unrooted,LG,tree_6,OMP_10,6,42.702,380.83,-84301496.968,18.591,41.324
baseline,AA,unrooted,LG,tree_6,OMP_48,3,14.46,595.049,-84301496.968,18.591,13.074
baseline,AA,unrooted,LG,tree_6,OPENACC,1,30.812,30.452,-84301496.968,18.591,27.961
baseline,AA,unrooted,LG,tree_6,OPENACC,10,30.832,30.449,-84301496.968,18.591,27.92
baseline,AA,unrooted,LG,tree_6,OMP_10,1,40.176,380.409,-84301496.968,18.591,38.875
baseline,AA,unrooted,LG,tree_6,OMP_10,7,39.781,377.319,-84301496.968,18.591,38.571
baseline,AA,unrooted,LG,tree_6,OMP_10,8,38.014,352.943,-84301496.968,18.591,36.443
baseline,AA,unrooted,LG,tree_6,OPENACC,6,31.795,31.373,-84301496.968,18.591,28.755
